도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
자우리작은도서관,광주광역시,북구,작은도서관,매주 토·일요일,09:00,18:00,00:00,00:00,00:00,00:00,12,4347,0,0,3,7,"광주광역시 북구 양산택지로34번길 22(양산동, LG그린자이2차관리사무소)",,062-572-5070,,54.0,,35.20940213,126.88252379999999,2020-07-03,3620000,광주광역시 북구
주민작은도서관,광주광역시,북구,작은도서관,매주 토·일요일,13:00,19:00,00:00,00:00,00:00,00:00,15,1600,1,0,3,7,광주광역시 북구 용전마을길 9-3(용전동),,062-255-4020,,47.1,,35.23719283,126.89457720000001,2020-07-03,3620000,광주광역시 북구
주안문고,광주광역시,북구,작은도서관,매주 토·일요일,12:00,19:00,00:00,00:00,00:00,00:00,12,10000,0,0,3,7,광주광역시 북구 설죽로214번길 107-8(용봉동),,062-529-3162,,66.5,,35.17837438,126.9034402,2020-07-03,3620000,광주광역시 북구
중흥작은도서관,광주광역시,북구,작은도서관,매주 토·일요일,12:00,20:00,00:00,00:00,00:00,00:00,12,2500,0,0,3,7,광주광역시 북구 우치로 12(중흥동),,062-524-0958,,60.35,,35.16860567,126.91075790000002,2020-07-03,3620000,광주광역시 북구
참좋은작은도서관,광주광역시,북구,작은도서관,매주 토·일요일,13:00,18:00,00:00,00:00,00:00,00:00,6,4000,0,0,3,7,광주광역시 북구 복룡길 2 (신용동),,062-574-7009,,99.0,,35.21451604,126.8665207,2020-07-03,3620000,광주광역시 북구
참터문고,광주광역시,북구,작은도서관,매주 일요일,10:00,19:00,00:00,00:00,00:00,00:00,10,4000,0,4,3,7,"광주광역시 북구 반룡로33(용봉동), 3층",,062-526-3689,,33.3,,35.17923095,126.90155530000001,2020-07-03,3620000,광주광역시 북구
책과벗하는사랑방,광주광역시,북구,작은도서관,매주 토·일요일,09:00,18:00,00:00,00:00,00:00,00:00,33,2000,33,0,3,7,"광주광역시 북구 매곡로 93, 관리동 3층(매곡동)",,062-575-3034,,85.0,,35.193022799999994,126.8902598,2020-07-03,3620000,광주광역시 북구
책돌이도서관,광주광역시,북구,작은도서관,매주 일요일,11:00,17:00,11:00,17:00,00:00,00:00,36,12500,7,0,3,7,광주광역시 북구 우치로 235(오치동),,062-266-7279,,99.0,,35.18584611,126.9050782,2020-07-03,3620000,광주광역시 북구
책향기작은도서관,광주광역시,북구,작은도서관,매주 일요일,10:00,19:00,10:00,15:00,00:00,00:00,15,3200,4,0,3,7,광주광역시 북구 하백로29번길 13(매곡동),,062-573-1357,,66.0,,35.19037555,126.88931029999999,2020-07-03,3620000,광주광역시 북구
첨단자이2단지작은도서관,광주광역시,북구,작은도서관,매주 토·일요일,09:00,18:00,00:00,00:00,00:00,00:00,10,1200,1,0,3,7,"광주광역시 북구 임방울대로 1020(신용동, 첨단자이2단지아파트관리사무소)",,062-575-4451,,46.1,,35.21119486,126.86927179999999,2020-07-03,3620000,광주광역시 북구
청년센터아카이브,광주광역시,북구,작은도서관,없음,10:00,23:00,10:00,23:00,00:00,00:00,16,20000,0,0,3,7,광주광역시 북구 반룡로42번길 23 (용봉동) 3층,,070-4175-0957,,53.0,,35.17759115,126.9023784,2020-07-03,3620000,광주광역시 북구
카리타스작은도서관,광주광역시,북구,작은도서관,매주 일요일,09:00,18:00,00:00,00:00,00:00,00:00,29,7167,0,0,3,7,광주광역시 북구 서하로194번길 6(오치동),,062-263-8200,,71.2,,35.18543902,126.9009769,2020-07-03,3620000,광주광역시 북구
콩세알작은도서관,광주광역시,북구,작은도서관,매주 일요일,10:00,18:00,10:00,14:00,00:00,00:00,12,4700,1,420,3,7,"광주광역시 북구 첨단연신로 245(건국동, 첨단2 휴먼시아)",,062-430-8295,,130.0,,35.20783079,126.8594152,2020-07-03,3620000,광주광역시 북구
탈무드작은도서관,광주광역시,북구,작은도서관,없음,09:00,17:00,09:00,14:00,00:00,00:00,30,6000,2,13,3,7,광주광역시 북구 양산제로 25(양산동),,062-571-2919,,99.0,,35.1997585,126.8726503,2020-07-03,3620000,광주광역시 북구
파랑새작은도서관,광주광역시,북구,작은도서관,없음,12:00,18:00,12:00,18:00,00:00,00:00,27,3500,0,0,3,7,광주광역시 북구 양일로 100 (양산동),,062-573-7778,,89.1,,35.1975841,126.875803,2020-07-03,3620000,광주광역시 북구
푸른꿈작은도서관,광주광역시,북구,작은도서관,매주 토·일요일,10:00,17:00,00:00,00:00,00:00,00:00,20,3150,0,0,3,7,광주광역시 북구 동림용산로 12(동림 푸른마을4단지),,062-514-4986,,144.0,,35.188748,126.8696723,2020-07-03,3620000,광주광역시 북구
푸른샘작은도서관,광주광역시,북구,작은도서관,매주 토·일요일,11:00,17:00,00:00,00:00,00:00,00:00,50,20000,0,0,3,7,광주광역시 북구 북문대로 242번길 3(동림동),,070-7760-5491,,39.0,,35.18751798,126.8658446,2020-07-03,3620000,광주광역시 북구
푸른숲작은도서관(삼각),광주광역시,북구,작은도서관,매주 토·일요일,15:00,20:00,00:00,00:00,00:00,00:00,38,20100,0,0,3,7,광주광역시 북구 첨단연신로133번길 7 지하1층(신용동),,062-574-5117,,67.9,,35.19993745,126.9022638,2020-07-03,3620000,광주광역시 북구
푸른숲작은도서관(첨단),광주광역시,북구,작은도서관,매주 일요일,10:00,18:00,10:00,15:00,00:00,00:00,52,1600,3,0,3,7,광주광역시 북구 송해로 10-15(삼각동),,062-571-0877,,122.51,,35.19993745,126.9022638,2020-07-03,3620000,광주광역시 북구
풍경채작은도서관,광주광역시,북구,작은도서관,매주 일요일,12:00,18:00,13:00,17:00,00:00,00:00,40,9518,2,3,3,7,광주광역시 북구 첨단연신로 216(신용동),,062-671-0064,,116.0,,35.21118485,126.8572173,2020-07-03,3620000,광주광역시 북구
풍성한작은도서관,광주광역시,북구,작은도서관,매주 일요일,10:00,18:00,10:00,18:00,00:00,00:00,30,5080,2,0,3,7,광주광역시 북구 연양로67번길 14(양산동),,070-8733-7191,,58.32,,35.20774361,126.87527790000001,2020-07-03,3620000,광주광역시 북구
핑크드림작은도서관,광주광역시,북구,작은도서관,매주 토·일요일,13:00,18:00,00:00,00:00,00:00,00:00,36,5467,5,0,3,7,광주광역시 북구 삼정로 10 (두암동),,062-268-0093,,90.0,,35.16305554,126.9373175,2020-07-03,3620000,광주광역시 북구
하늘사랑작은도서관,광주광역시,북구,작은도서관,매주 일요일,10:30,18:30,00:00,00:00,00:00,00:00,15,1100,0,0,3,7,광주광역시 북구 군왕로 123 4층(두암동),,000-000-0000,,39.6,,35.17232255,126.9325593,2020-07-03,3620000,광주광역시 북구
하늘씨앗작은도서관,광주광역시,북구,작은도서관,매주 일·월요일,09:00,18:00,13:00,17:00,00:00,00:00,30,2005,0,0,3,7,광주광역시 북구 송월로30번길 47(오치동),,062-575-0760,,60.0,,35.18649949,126.9159118,2020-07-03,3620000,광주광역시 북구
하백꿈작은도서관,광주광역시,북구,작은도서관,매주 일요일,13:00,18:00,10:00,13:00,00:00,00:00,100,4000,0,0,3,7,"광주광역시 북구 하백로 5번길 6(매곡동, 하백교회), 1층",,062-575-3004,,130.0,,35.188256,126.8901388,2020-07-03,3620000,광주광역시 북구
한양수자인작은도서관,광주광역시,북구,작은도서관,매주 일·월요일,13:00,18:00,09:00,15:00,00:00,00:00,25,4627,0,0,3,7,"광주광역시 북구 첨단연신로 184 (건국동, 한양수자인아파트)",,062-571-0184,,109.83,,35.21322777,126.85915109999999,2020-07-03,3620000,광주광역시 북구
해누리작은도서관,광주광역시,북구,작은도서관,매주 월요일,10:00,17:00,10:00,17:00,00:00,00:00,16,5000,2,0,3,7,광주광역시 북구 동문대로180번길 68(두암동),,062-269-9101,,60.0,,35.17722959,126.9326563,2020-07-03,3620000,광주광역시 북구
현진에버빌작은도서관,광주광역시,북구,작은도서관,매주 토·일요일,10:00,18:00,00:00,00:00,00:00,00:00,40,5100,0,0,3,7,"광주광역시 북구 양산택지소로 20(본촌동, 현진에버빌관리사무소)",,062-433-7222,,141.22,,35.21365394,126.88359399999999,2020-07-03,3620000,광주광역시 북구
효령노인복지타운도서관,광주광역시,북구,작은도서관,매주 토·일요일,09:00,18:00,00:00,00:00,00:00,00:00,31,2200,0,0,3,7,광주광역시 북구 하서로 950 (효령동),,062-603-9994,,55.89,,35.24065006,126.912226,2020-07-03,3620000,광주광역시 북구
식물그림책작은도서관,광주광역시,동구,작은도서관,"매주 일요일, 국가지정공휴일",11:00,17:00,11:00,17:00,00:00,00:00,10,1000,0,0,0,0,광주광역시 동구 계림로 34,기살림빛고을협동조합,062-224-8863,0.0,90.5,,35.156712763200005,126.9233705467,2020-04-03,3590000,광주광역시 동구
그림이 있는 작은도서관,광주광역시,동구,작은도서관,"매주 토, 일요일, 국가지정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,25,20000,0,0,0,0,광주광역시 동구 밤실로 119 (산수동),개인,070-8723-8834,0.0,82.0,,35.1581005957,126.93528421719999,2020-04-03,3590000,광주광역시 동구
GIC도서관,광주광역시,동구,작은도서관,"매주 일요일, 국가지정공휴일",09:30,18:00,09:30,18:00,00:00,00:00,50,4030,0,0,0,0,광주광역시 동구 중앙로 196번길 5(금남로3가),(사)광주국제교류센터,062-226-2733,0.0,152.0,,35.1503736365,126.9167523222,2020-04-03,3590000,광주광역시 동구
space秀,광주광역시,동구,작은도서관,"매주 토, 일요일, 국가지정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,8,2000,0,0,0,0,광주광역시 동구 동명로 14번길 19(동명동),개인,062-223-4127,0.0,49.0,,35.1500403633,126.9254092593,2020-04-03,3590000,광주광역시 동구
지산1동 작은도서관,광주광역시,동구,작은도서관,"매주 토,일요일",10:00,16:00,00:00,00:00,00:00,00:00,16,2620,0,0,0,0,광주광역시 동구 지산로 57 (지산동),지산1동 복지공동체,062-608-3682,0.0,49.0,,35.1490062748,126.93271905370001,2020-04-03,3590000,광주광역시 동구
작은도서관 오월의숲,광주광역시,동구,작은도서관,"매주 일요일, 국가지정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,36,3550,0,0,0,0,광주광역시 동구 필문대로205번길 10- 1(지산동),(사)합수윤한봉기념사업회,062-514-0528,0.0,87.0,,35.1520237014,126.9321283283,2020-04-03,3590000,광주광역시 동구
무등재 작은도서관,광주광역시,동구,작은도서관,매주 일요일,13:00,18:00,15:00,17:00,00:00,00:00,15,1890,0,0,0,0,광주광역시 동구 필문대로 212 (지산동),개인,062-233-2489,0.0,75.0,,35.1520660535,126.93051721290001,2020-04-03,3590000,광주광역시 동구
두암타운작은도서관,광주광역시,동구,작은도서관,"매주 토, 일요일",09:00,17:00,00:00,00:00,00:00,00:00,12,2000,0,0,0,0,광주광역시 동구 밤실로 147(산수동),두암타운입주자대표회의,062-266-3784,0.0,40.0,,35.1612335177,126.93490416510001,2020-04-03,3590000,광주광역시 동구
소망작은도서관,광주광역시,동구,작은도서관,"매주 일요일, 국가지정공휴일",09:00,18:00,09:00,12:00,00:00,00:00,30,2000,0,0,0,0,광주광역시 동구 필문대로 50-1(계림동),개인,062-430-2558,0.0,71.0,,35.1631926356,126.9248089314,2020-04-03,3590000,광주광역시 동구
이매진도서관,광주광역시,동구,작은도서관,"매주 월요일, 국가지정공휴일",13:00,19:00,13:00,19:00,00:00,00:00,12,4200,0,0,0,0,광주광역시 동구 문화전당로 29 (남동),개인,000-000-0000,0.0,256.0,,35.145024739200004,126.91908858629999,2020-04-03,3590000,광주광역시 동구
희망작은도서관,광주광역시,동구,작은도서관,"매주 토, 일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,16,1300,0,0,0,0,광주광역시 동구 밤실로82번길 3(산수동),형통한교회,000-000-0000,0.0,46.4,,35.1550331992,126.93686266489999,2020-04-03,3590000,광주광역시 동구
지원2동작은도서관,광주광역시,동구,작은도서관,"매월 첫째,세째주 월요일,국가지정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,34,8716,0,0,5,15,광주광역시 동구 화산로 361,광주광역시 동구청,062-608-3922,173.0,173.0,,35.1204519,126.93287279999998,2020-04-03,3590000,광주광역시 동구
지산2동작은도서관,광주광역시,동구,작은도서관,"매월 첫째,세째주 월요일,국가지정공휴일",10:00,18:00,10:00,17:00,00:00,00:00,14,7665,0,23,5,15,광주광역시 동구 밤실로4번길 16,광주광역시 동구청,062-225-2123,149.0,149.0,,35.1484263,126.93849109999998,2020-04-03,3590000,광주광역시 동구
학운동작은도서관,광주광역시,동구,작은도서관,"매월 첫째,세째주 월요일,국가지정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,20,8649,0,177,5,15,광주광역시 동구 의재로43번길 27-3,광주광역시 동구청,062-608-3921,124.0,124.0,,35.1330388496,126.9347466701,2020-04-03,3590000,광주광역시 동구
대인작은도서관,광주광역시,동구,작은도서관,"매주 월요일, 국가지정공휴일",10:00,18:00,13:00,18:00,00:00,00:00,60,2000,0,0,0,0,광주광역시 동구 중앙로 224(장동),대인교회,062-234-8291,0.0,149.9,,35.1523360595,126.91831312030001,2020-04-03,3590000,광주광역시 동구
계림두산위브작은도서관,광주광역시,동구,작은도서관,"매주 수, 목요일, 공휴일",14:00,18:00,09:00,17:00,00:00,00:00,30,5000,0,0,0,0,광주광역시 동구 무등로 374(계림동),계림두산위브아파트입주자대표회의,062-227-0338,0.0,150.0,,35.1587826848,126.9240051882,2020-04-03,3590000,광주광역시 동구
행복한작은도서관,광주광역시,동구,작은도서관,"매주 토,일요일, 국가지정공휴일",12:00,20:00,00:00,00:00,00:00,00:00,10,2050,0,0,0,0,광주광역시 동구 산수길 39번길 20-4,행복한지역아동센터,062-223-3164,0.0,33.0,,35.158456536799996,126.9271752215,2020-04-03,3590000,광주광역시 동구
무등산IPARK아파트작은도서관,광주광역시,동구,작은도서관,"매주 일요일, 국가지정공휴일",11:00,17:00,11:00,17:00,00:00,00:00,42,2000,0,0,0,0,광주광역시 동구 남문로 753번길 20,무등산IPARK입주자대표회의,062-229-0116,0.0,87.3,,35.1363487311,126.92262155430001,2020-04-03,3590000,광주광역시 동구
알암인권작은도서관,광주광역시,동구,작은도서관,"매주 일요일, 국가지정공휴일",10:00,17:00,10:00,15:00,00:00,00:00,14,3300,0,0,0,0,광주광역시 동구 동명로 7-4(장동),(사)알암명노근선생기념사업회,062-228-3563,0.0,33.0,,35.150226087,126.9226040297,2020-04-03,3590000,광주광역시 동구
푸른길책향기작은도서관,광주광역시,동구,작은도서관,"매주 토, 일요일",09:00,18:00,00:00,00:00,00:00,00:00,10,4200,0,0,0,0,광주광역시 동구 동명로20번길 43-5(동명동),(사)동명창조문화행복공동체마을,062-233-2662,0.0,70.2,,35.1503158704,126.9278760589,2020-04-03,3590000,광주광역시 동구
대안도서관 틔움,광주광역시,동구,작은도서관,국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,32,10750,0,0,0,0,광주광역시 동구 밤실로 136번길 8-21(산수동),광주전남 인드라망생명공동체,062-268-4660,0.0,74.2,,35.158750243200004,126.9365480871,2020-04-03,3590000,광주광역시 동구
산수중앙작은도서관,광주광역시,동구,작은도서관,"매주 일요일, 국가지정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,30,5500,0,0,0,0,광주광역시 동구 필문대로171번길 27-7 (산수동),산수중앙교회,062-251-6438,0.0,106.5,,35.1566691712,126.9351624277,2020-04-03,3590000,광주광역시 동구
풀꽃동산작은도서관,광주광역시,동구,작은도서관,"매주 월요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,30,5200,0,0,0,0,광주광역시 동구 동명로110번길 14 (지산동),지산교회,062-222-0736,0.0,134.0,,35.1496693629,126.9321566217,2020-04-03,3590000,광주광역시 동구
북카페 영어작은도서관,광주광역시,동구,작은도서관,"매주 월, 수, 금요일",10:00,14:00,10:00,14:00,00:00,00:00,10,1550,0,0,0,0,광주광역시 동구 남계길 48-5 (내남동),광남교회,062-234-9182,0.0,46.0,,35.0934136078,126.9394325614,2020-04-03,3590000,광주광역시 동구
백 암 문 고,광주광역시,동구,작은도서관,국가지정공휴일,10:00,19:00,00:00,00:00,00:00,00:00,20,4200,0,0,0,0,광주광역시 동구 학소로86번안길 8 (소태동),백암지역아동센터,062-227-9421,0.0,66.0,,35.1288672524,126.9345876189,2020-04-03,3590000,광주광역시 동구
파이디온작은도서관,광주광역시,동구,작은도서관,국가지정공휴일,10:00,18:00,09:00,17:00,00:00,00:00,24,4000,0,0,0,0,"광주광역시 동구 남문로622번길 6(소태동), 3층",파이디온지역아동센터,062-265-5616,0.0,49.5,,35.1263672984,126.93209256979999,2020-04-03,3590000,광주광역시 동구
은새암,광주광역시,동구,작은도서관,"매주 토,일요일",09:00,17:00,00:00,00:00,00:00,00:00,12,3681,0,0,0,0,"광주광역시 동구 천변우로 369, 대원빌딩 9층 (호남동)",(재)광주광역시 광주여성재단,062-670-0539,0.0,59.0,,35.1477669796,126.91176835370001,2020-04-03,3590000,광주광역시 동구
작은도서관 숲,광주광역시,동구,작은도서관,"매주 일요일, 국가지정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,30,1200,0,0,0,0,광주광역시 동구 동계천로 51-2 (대인동),개인,062-401-1708,0.0,75.4,,35.1544952567,126.91763051299999,2020-04-03,3590000,광주광역시 동구
메트로열린도서관,광주광역시,동구,작은도서관,"매주 토, 일요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,10,20000,0,0,0,0,"광주광역시 동구 제봉로 지하 1,지하철 남광주역(학동)",광주문화사랑봉사단,062-604-8434,0.0,50.0,,35.139319827600005,126.92294354219999,2020-04-03,3590000,광주광역시 동구
옹달샘작은도서관,광주광역시,동구,작은도서관,"매주 토, 일요일, 국가지정공휴일",14:00,17:00,00:00,00:00,00:00,00:00,20,2000,0,0,0,0,"광주광역시 동구 학소로76번길 14, 모아미래도(소태동)",개인,062-233-0433,0.0,198.0,,35.1269535076,126.935997863,2020-04-03,3590000,광주광역시 동구
학2마을작은도서관,광주광역시,동구,작은도서관,"매주 일요일, 국가지정공휴일",09:00,18:00,09:00,13:00,00:00,00:00,27,3945,0,0,0,0,"광주광역시 동구 남문로693번길 11, 학2마을아파트 (학동)",학2마을아파트입주자대표회의,062-223-1168,0.0,140.28,,35.1298154934,126.92822767770001,2020-04-03,3590000,광주광역시 동구
월남호반독서치유도서관,광주광역시,동구,작은도서관,"매주 토, 일요일",15:00,18:00,00:00,00:00,00:00,00:00,39,1884,0,0,0,0,"광주광역시 동구 남문로 377, 월남호반아파트 (월남동)",개인,062-227-0660,0.0,156.0,,35.1050689831,126.9372258815,2020-04-03,3590000,광주광역시 동구
살레시오 작은도서관 마인,광주광역시,동구,작은도서관,"매주 일요일, 국가지정공휴일",10:00,18:00,09:00,17:00,00:00,00:00,48,4890,0,0,0,0,광주광역시 동구 필문대로 263번길 24,개인,062-233-1013,0.0,337.0,,35.1469753951,126.9309166032,2020-04-03,3590000,광주광역시 동구
예향 작은도서관,광주광역시,동구,작은도서관,"매주 일요일, 국가지정공휴일",14:00,19:00,14:00,18:00,00:00,00:00,20,1200,0,0,0,0,광주광역시 동구 남문로 638-3,개인,062-232-7429,0.0,95.7,,35.1280684237,126.9309413507,2020-04-03,3590000,광주광역시 동구
김냇과작은도서관,광주광역시,동구,작은도서관,국가지정공휴일,10:30,20:00,10:30,20:00,00:00,00:00,40,1290,0,0,0,0,광주광역시 동구 구성로 204번길 13,개인,062-229-3355,0.0,248.0,,35.1527778127,126.9158060445,2020-04-03,3590000,광주광역시 동구
작은도서관 동고송,광주광역시,동구,작은도서관,"매주 토, 일요일, 국가지정공휴일",10:00,17:00,00:00,00:00,00:00,00:00,15,1208,0,0,0,0,광주광역시 동구 갈마로 6,법인,000-000-0000,0.0,42.5,,35.1602184547,126.9313971221,2020-04-03,3590000,광주광역시 동구
작은도서관 두럭,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,10:00,18:00,35,3600,0,0,3,14,광주광역시 서구 상무민주로 104,,062-371-3200,,50.0,,35.160045345,126.8601077109,2020-03-17,3600000,광주광역시 서구
쉼북카페 도서관,광주광역시,서구,작은도서관,"매주화요일, 국가지정공휴일",10:00,18:00,10:00,18:00,10:00,18:00,30,5000,100,0,3,25,광주광역시 서구 풍암신흥로58,,062-350-4545,,62.8,,35.121685,126.8687423,2020-03-17,3600000,광주광역시 서구
아이숲어린이도서관,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,10:00,18:00,30,1530,0,0,4,7,광주광역시 서구 풍암2로 2,,062-652-1279,,66.0,,35.1271913116,126.879005,2020-03-17,3600000,광주광역시 서구
지혜의샘,광주광역시,서구,작은도서관,매주목요일,09:00,18:00,09:00,18:00,09:00,18:00,40,6500,0,0,5,7,광주광역시 서구 풍암중앙로 86번길 2,,062-652-1279,,221.0,,35.1261509,126.88329509999998,2020-03-17,3600000,광주광역시 서구
풍암전원작은도서관,광주광역시,서구,작은도서관,"매주일요일, 매주월요일, 국가지정공휴일",09:00,18:00,09:00,18:00,09:00,18:00,10,1320,0,0,5,7,광주광역시 서구 풍금로 11번길 17,,062-654-7005,,51.84,,35.1198892164,126.8644592128,2020-03-17,3600000,광주광역시 서구
작은도서관 꿈터,광주광역시,서구,작은도서관,매주일요일,12:00,21:00,12:00,21:00,12:00,21:00,10,7000,150,50,3,14,광주광역시 서구 염화로104번길17,,062-372-3310,66.0,33.0,,35.1413005308,126.87658204520001,2020-03-17,3600000,광주광역시 서구
무등작은도서관,광주광역시,서구,작은도서관,"매주월요일, 국가지정공휴일",09:00,18:00,09:00,18:00,09:00,18:00,45,6500,0,0,5,7,광주광역시 서구 월드컵4강로 68번길 18,,062-371-9915,,135.0,,35.143173,126.87670651799999,2020-03-17,3600000,광주광역시 서구
중앙나누리 작은도서관,광주광역시,서구,작은도서관,"매주월요일, 국가지정공휴일",09:00,18:00,09:00,18:00,09:00,18:00,60,4392,0,0,10,14,광주광역시 서구 화정로 189번길 25,,062-717-9192,,238.0,http://cafe.daum.net/j-nanuri,35.1480542676,126.8773093099,2020-03-17,3600000,광주광역시 서구
화정문고,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",11:00,21:00,11:00,21:00,11:00,21:00,25,5000,0,0,5,20,광주광역시 서구 상무대로 1014번길 44,화정문고,070-8835-0910,265.0,165.0,,35.147682,126.87260400000001,2020-03-17,3600000,광주광역시 서구
지혜의샘터,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",11:00,21:00,11:00,21:00,11:00,21:00,20,2300,2,0,2,7,광주광역시 서구 염화로31번길5,개인,062-373-0136,,33.0,,35.1371143,126.87228119999999,2020-03-17,3600000,광주광역시 서구
광주광역시청소년문화의집미소책방,광주광역시,서구,작은도서관,"매주월요일, 국가지정공휴일",10:00,18:00,10:00,18:00,10:00,18:00,30,8000,2,0,3,7,광주광역시 서구 화정로179번길 63,광주광역시청소년문화의집,062-375-1324,,158.24,,35.1506379306,126.8758963107,2020-03-17,3600000,광주광역시 서구
월광교회 작은도서관,광주광역시,서구,작은도서관,"매주월요일, 국가지정공휴일",10:00,18:00,10:00,18:00,10:00,18:00,47,26747,0,0,0,0,광주광역시 서구 염화로31번길 7,월광교회,062-375-4664,,165.0,,35.1368322307,126.87195200000001,2020-03-17,3600000,광주광역시 서구
오색종이 신나는 작은도서관,광주광역시,서구,작은도서관,"매주일요일,국가지정공휴일",09:30,18:00,09:30,18:00,09:30,18:00,12,2500,0,0,5,10,광주광역시 서구 금부로 95번길 7,,062-228-0103,,51.83,,35.140409600000005,126.8591632,2020-03-17,3600000,광주광역시 서구
교육과희망 작은도서관,광주광역시,서구,작은도서관,무휴,10:00,18:00,10:00,18:00,10:00,18:00,15,3000,0,0,3,14,광주광역시 서구 금부로95번길 43,,062-382-0979,,40.47,,35.1435084268,126.85806860379999,2020-03-17,3600000,광주광역시 서구
금호2동작은도서관,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",09:00,18:00,09:00,17:00,09:00,18:00,60,12000,0,0,0,0,광주광역시 서구 풍금로 135,금호2동주민센터,062-675-4504,133.0,984.0,,35.1289918156,126.857155,2020-03-17,3600000,광주광역시 서구
동천동작은도서관,광주광역시,서구,작은도서관,국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,40,6387,0,0,0,0,광주광역시 서구 유림로98번길 8,동천동주민센터,062-521-2990,931.0,282.0,,35.170866895,126.8647347206,2020-03-17,3600000,광주광역시 서구
양동작은도서관,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",09:00,18:00,09:00,18:00,09:00,18:00,30,7202,0,0,0,0,광주광역시 서구 독립로200번길 7,양동주민센터,062-350-4213,,132.0,,35.150074,126.9069605,2020-03-17,3600000,광주광역시 서구
화정4동작은도서관,광주광역시,서구,작은도서관,국가지정공휴일,09:00,21:00,09:00,21:00,09:00,21:00,20,11638,0,0,2,14,광주광역시 서구 염화로83번길 3,화정4동주민센터,062-384-4443,,225.0,,35.141827,126.873764,2020-03-17,3600000,광주광역시 서구
꿈빛도서관,광주광역시,서구,작은도서관,국가지정공휴일,09:00,22:00,09:00,22:00,09:00,22:00,21,9500,0,0,2,7,광주광역시 서구 천변좌하로 594(광천동),월드비전 무진종합사회복지관,062-372-2600,1689.0,501.68,http://www.gjw.or.kr/moojin/,35.168644,126.87549320000001,2020-03-17,3600000,광주광역시 서구
마을도서관 다락,광주광역시,서구,작은도서관,"매주토요일, 매주일요일, 국가지정고유일",10:00,17:00,10:00,17:00,10:00,17:00,30,3500,300,0,2,14,광주광역시 서구 금화로 73번길 7,,062-383-5703,,100.0,,35.1329029816,126.85651399999999,2020-03-17,3600000,광주광역시 서구
글마루작은도서관,광주광역시,서구,작은도서관,무휴,09:00,18:00,09:00,18:00,09:00,18:00,20,1000,0,0,2,7,광주광역시 서구 발산로 36,,062-369-8072,,40.0,,35.1583103051,126.8949600699,2020-03-17,3600000,광주광역시 서구
해돋는작은도서관,광주광역시,서구,작은도서관,"매주월요일, 매주수요일",09:00,18:00,09:00,18:00,09:00,18:00,50,1950,0,0,0,0,광주광역시 서구 금화로73번길 7,,062-654-3927,,85.8,,35.1329029816,126.85651399999999,2020-03-17,3600000,광주광역시 서구
쉼터작은도서관,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",09:00,18:00,09:00,18:00,09:00,18:00,25,1230,0,0,0,0,광주광역시 서구 금부로 63 (금호동),,062-371-9179,,45.57,,35.14004825,126.8559019,2020-03-17,3600000,광주광역시 서구
고맙습니다 아리솔작은도서관,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",09:00,17:30,09:00,17:30,09:00,17:30,60,8347,0,0,3,7,광주광역시 서구 화개1로 59-2,,062-457-5114,,167.0,,35.131327571,126.8536483306,2020-03-17,3600000,광주광역시 서구
송촌파인힐작은도서관,광주광역시,서구,작은도서관,"매주토요일, 매주일요일, 국가지정공휴일",09:00,18:00,09:00,18:00,09:00,18:00,24,5085,0,0,0,0,광주광역시 서구 마재로 65,,062-682-5667,,64.8,,35.1322480451,126.86385941459999,2020-03-17,3600000,광주광역시 서구
책사랑 작은도서관,광주광역시,서구,작은도서관,"매주 일요일, 국가지정 공휴일",10:00,19:00,10:00,19:00,10:00,19:00,30,4511,0,0,0,0,"광주광역시 서구 마재로 21(금호동, 중흥아파트)",풍암중흥1단지아파트,062-681-4377,,100.0,,35.1322308526,126.8614148836,2020-03-17,3600000,광주광역시 서구
